           4  0.25000000000000000       -1.8516447102601141E-004  -1.1992647746872365E-005   1.3432499557097799E-010
           8  0.12500000000000000       -4.6847180015352485E-005  -7.4141634509583554E-007   2.0946577805602828E-012
          16   6.2500000000000000E-002  -1.1746454447680854E-005  -4.6212591753302945E-008   3.2640556923979602E-014
          32   3.1250000000000000E-002  -2.9387783544443380E-006  -2.8863234025067186E-009   6.6613381477509392E-016
          64   1.5625000000000000E-002  -7.3482986218120772E-007  -1.8036450111225122E-010   0.0000000000000000     
         128   7.8125000000000000E-003  -1.8371591936627851E-007  -1.1272316413624139E-011  -2.2204460492503131E-016
         256   3.9062500000000000E-003  -4.5929508085684745E-008  -7.0454753142712434E-013  -1.1102230246251565E-016
         512   1.9531250000000000E-003  -1.1482410022800593E-008  -4.4186876380081230E-014   3.3306690738754696E-016
        1024   9.7656250000000000E-004  -2.8706044208348658E-009  -2.8865798640254070E-015   2.2204460492503131E-016
        2048   4.8828125000000000E-004  -7.1765071663065783E-010  -3.3306690738754696E-016   0.0000000000000000     
        4096   2.4414062500000000E-004  -1.7941326202475238E-010  -1.1102230246251565E-016  -5.5511151231257827E-016
